"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"11","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 years, 1 month ago","

                                    Jim Cumming
                                
","Completed",10,"1 review","1 completed","
                    A superb introductory course in event driven GUI programming using Python.
Suitable for anyone from beginners to perhaps people who program in othe
languages but want to try some thing new. I've been programming as a
professional for over ten years and still took a lot from this class. The
instructors really went out of the way to make the class fun and informative .


                "
"12","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 years, 1 month ago","

                                    Alex Jeffrey
                                
","Completed",10,"1 review","1 completed","
                    Absolutely extraordinary class! I feel confident and comfortable in a
programming language that I hadn't ever worked with before two months ago.
Thanks again to the fantastic professors. I'd take any class offered by them!


                "
"13","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 years, 1 month ago","

                                    Celso Díaz
                                
","Completed",10,"1 review","1 completed","
                    Great course if you want to introduce yourself in the world of Python
programming. No previous experience in programming is needed.


                "
"14","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","1 year, 8 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",8,"1 review","1 completed","
                    Course was excellent, but not quite what I wanted, heavy on Games and Game
theory when I wanted math and multi array analysis with I/O routines, I
dropped after 6 weeks caused by other committments


                "
"15","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","1 year, 8 months ago","

                                    Lloyd Knott
                                
","Completed",10,"1 review","1 completed","
                    This course was actually really helpful in getting to grips with Python. I've
made attempts before to learn it but found that a lot of the courses were of
the 'this is something we made earlier' approach rather than getting you to
grips with the methodology and methods of writing Python in an incremental
manner. I'd highly recommend this to anyone, i'm looking forward to trying
their follow up course in a week's time.


                "
"16","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","1 year, 8 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",10,"1 review","1 completed","
                    This was my first foray into computer programming so I was expecting to be
blown out away by the intricacies of coding relatively quickly. Although there
were many occasions an which I got lost or confused the both re-watching the
video lectures and using the practice exercises / community forums quickly
cleared up my confusion and allowed me to finish the weekly assignments. I
found the teachers to be entertaining and very instructive, and the community
support was amazing. I had posted problems and got a response within minutes.
I would highly advise taking this course, even a complete newbie can learn to
build some rather creative and fun code, so long as you put in the work.


                "
"17","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","1 year, 8 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",10,"1 review","1 completed","
                    This class was a great introduction to Python and interactive programming. The
instructors did a great job of making the videos fun and educational. The
Codeskulptor tool made the course hassle free - there was no installing
software and it was very easy to submit assignments.


                "
"18","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","1 year, 8 months ago","

                                    Olu Otuyelu
                                
","Completed",10,"2 reviews","2 completed","
                    Great course, educational entertainment at its best! \- lectures were well
planned out, making the cumulative concepts presented feel like stacked LEGO
blocks. \- well built tools which encouraged the focus to stay on the concepts
being presented, rather than fumbling around with software compatibility
issues. \- The forums for the course are actively engaged by staff and more
importantly fellow students \- Additional practice code that highlight
concepts need for projects are available including videos by present and past
students were great aids in expanding one's understanding. This is a great
course


                "
"19","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","1 year, 8 months ago","

                                    Pankaj Basliyal
                                
","Completed",10,"1 review","1 completed","
                    This was my first online class and I must say this gives me a great hope for
the things I can learn by online classes. This has been fun 9 weeks and a
great learning experience. I don't have anything to compare with it but I am
sure it's one of the best mode to learn. The teaching staff was fabulous and
had designed a course in a way that no point you feel that things are going
out of reach... by the end of this course I was successfully able to write a
complex Python script for my work and I felt real wow :)


                "
"20","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","1 year, 8 months ago","

                                    ryan.nardiello@gmail.com ryan.nardiello@gmail.com
                                
","Completed",10,"1 review","1 completed","
                    The last time I coded was over ten years ago in college. I was nervous and
scared to take this class and feel dumb. This class put my worries aside. I
enjoyed this class immensely and I left the class feeling capable of actually
doing python coding. The professors have a great format and knack for
teaching. I never felt left behind or lost. Please take this course if you
have any interest in coding.


                "
"21","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","1 year, 8 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",10,"1 review","1 completed","
                    I had almost zero experience in programming before this class. I had taken a
few courses at school, but it was mainly theoretical stuff that didn't even
scratch the surface of this course. The course starts really easy, but about
the mid and on it builds up in difficulty quite abruptly for beginners (it is
mentioned that beginners might find it fast-pacing though, so you should just
have it in mind). However I didn't follow all the excersises and many times I
was running in the last minute to complete mini-projects, so I guess it was my
fault too. I definitely learned lots of cool stuff and I now believe that
programming is not as difficult as I though it was. It just needs planning and
thinking. This course is 100% recommended if you are just getting started!
Lots of thanks to everyone who contributed!


                "
"22","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","1 year, 8 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",8,"1 review","1 completed","
                    Great professors and materials, the course is very interesting. I'm a
programmer and wanted to learn python, so the course was a little easy for me.


                "
"23","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","1 year, 8 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",10,"1 review","1 completed","
                    Great MOOC! I have enjoyed each week watching the video lectures and trying to
do the miniprojects. Teachers and materials are amazing. I was totally hooked.


                "
"24","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","1 year, 8 months ago","

                                    Emanuel Moreno
                                
","Completed",10,"1 review","1 completed","
                    The class is very good. I helped my career. Python is a useful tool in the
life of any computer programmer and this course gives you needed to learn.


                "
"25","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","1 year, 8 months ago","

                                    simon guénette
                                
","Completed",10,"1 review","1 completed","
                    I took ""Introduction to interactive programming in python"" as a ""back to
basic"" kind of course and can say that I do not regret my decision. The amount
of material offered, in term of quizzes, mini-projects and pedagogical tools,
is pretty phenomenal for a mooc. This, to me, is what really makes this one
stands out : the programming assignement have been much more sophisticated
than what I've seen in other MOOCs, even those which were arguably geared
toward more advanced students. The same is true of quizzes, which are usually
longer, better elaborated and more complex than what I've seen elsewhere.
(This is the reason I'm giving this course a ""medium"" level of difficulty.)
Combine this with evident passion on the part of the teachers and a talent for
content structuration, and you're pretty close to having a perfect MOOC. I
will be joining M. Rixner and Warren on their following course, ""Principles of
computing"".


                "
"26","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","1 year, 8 months ago","

                                    Gabriel Fernandes
                                
","Completed",10,"1 review","1 completed","
                    The course was great, the professor and the way that they teach us how to
programming in Python it is perfect and also an oportunity to a good
education. All the hours I spent studying, all the nights I didnt sleep, I
just wanna say thank you to Coursera, because I will change my carrer because
of this course and maybe in the future, when I learn more about computer
science, I will help people who want to learn, I will give them the
oportunity. Thank you again for the best course I have ever had.


                "
"27","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","1 year, 8 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",10,"1 review","1 completed","
                    This course is excellent introduction to python programming. As stated some
High school level mathematics is required but they will help you to remember
forgotten concepts. Video lectures are well planned and fun to watch and soon
you build up your capacity to build fairly complex game program. There are
deadlines to submit assignments twice a week and require regular work on line.
Whatever resources are required, they provide on line including purchased
sound and graphic assets for use in your programming.. You need to use Chrome
or Firefox but it does not work in all brousers You will certainly enjoy it
all throughout this program.


                "
"28","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","1 year, 8 months ago","

                                    Adina Tudor
                                
","Completed",10,"1 review","1 completed","
                    Before taking this class, I had never programmed in Python and I had never
actually enrolled in an online class. Now, I'm hooked: I want to keep learning
Python and I will continue the series of classes taught by Scott and Joe:) I
liked the way the theoretical notions were explained - the videos were clear
and perfectly timed (not too short and not too long either). The practice
exercises where an excellent way to apply and better understand the notions
and the mini-projects were very well structured, helping me understand the
""programming thinking"". And despite the occasionally annoying little bugs in
the code, nothing compares to the awesome feeling you have when you finally
make your program work:) All in all, an excellent course!


                "
"29","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","1 year, 8 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",10,"1 review","1 completed","
                    I found this course to be both entertaining and extremely informative at the
same time. From the way the theoretical notions were presented to the way the
practice exercises and mini-projects were structured, everything fitted
together perfectly and helped me learn the basics of programming in Python.
The teachers formed a great team and this contributed greatly to the overall
great atmosphere of the class. I will definitely continue to learn Python and
I am planning to enroll in Joe&Scott;'s next classes:) Thanks Joe! Thanks
Scott! Thanks John! Thanks Stephen!


                "
"30","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","1 year, 8 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",10,"1 review","1 completed","
                    This was a great class. They provided an easy to use environment to use,
explained the material, and provided examples and instructions that allowed
you to successfully completed the homework and most importantly learn the
material.


                "
"31","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","1 year, 8 months ago","

                                    Dana Yarimi
                                
","Completed",10,"1 review","1 completed","
                    very good! although i had some previous programming expiriance, i believe they
mad it accessible to all


                "
"32","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","1 year, 8 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",9,"1 review","1 completed","
                    I did not have much experience with programming before this class. The class
lectures were quite good and well organized. Joe and Scott did great job in
the lecture videos to explain the contents. . The projects were interesting.
Sometimes they were difficult for me as I did not have prior programming
experience. But with help of lecture videos and discussion forums I was able
to complete them. I had great learning experience with this class. Thanks to
the team.


                "
"33","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","1 year, 8 months ago","
                        
                            
                                Student
                            
                        
                    ","Completed",10,"1 review","1 completed","
                    I have a little experience in C with micro-controller, but learning a proper
programming techniques by programming games was really fun and helpful. The
course was well structured and best teaching in my opinion.


                "
"34","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","1 year, 8 months ago","

                                    Simon De Stercke
                                
","Completed",10,"1 review","1 completed","
                    I was familiar with programming for data processing and calculations, but this
was my first encounter with interactive programming. The course materials are
very well explained, and because of the funny and engaging teaching style it's
never boring. The games that are made as mini-projects are actually fun to
play as well. Moreover, the concepts and possibilities of object-oriented
programming are demonstrated very powerfully this way. This was an all-around
excellent class that I enjoyed very much.


                "
"35","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","1 year, 8 months ago","

                                    Maciej Cisowski
                                
","Completed",10,"1 review","1 completed","
                    An absolutely great course for beginners. I'd recommend it to anyone looking
to get into game development, as the course projects are games, though what
you learn is applicable across different programing domains, The Profesors are
wonderful and quite active with the community, which itself is very supportive
and great. If you are looking for a good starting point into game programig,
this is it!


                "
"36","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Completed","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","1 year, 8 months ago","

                                    Nabin Shrestha
                                
","Completed",10,"1 review","1 completed","
                    I had some prior knowledge of programming in Python, particularly in using the
language for computational purposes. I decided to check out this course
because of its description as an introduction to interactive programming. I
did not plan on going through with all the assignments. However, I found that
I enjoyed the course very much, and went on to do all the assignments. The
program was put together very well, and I appreciated all the hard work that
had obviously gone into putting the course together. I am looking forward to
taking the next course in the series.


                "
